,Process Number,Area,Date of Judgement,Type of Judgement,Descriptors,Main Judgement,Full Judgement Link
0,Processo nº:  4064/14.1T8STB.E1.S2,CÍVEL,26 de novembro de 2019,Acórdão,"Revista excepcional, Revista excecional, Acórdão recorrido, Ampliação do âmbito do recurso, Conhecimento prejudicado, Matéria de facto, Anulação de acórdão","I-   Admitido o recurso de revista excepcional, e impondo-se ao STJ conhecer de questão de direito, admitindo-se que o mesmo possa não manter a decisão recorrida, e tendo no acórdão do Tribunal da Relação ficado prejudicado o conhecimento do pedido de ampliação do  objecto do recurso, impõe-se uma prévia definição dos factos à pronúncia do STJ.  II-   Na situação indicada, deve anular-se o acórdão recorrido, mandando baixar os autos para que se conheça da questão prejudicada e da solução jurídica que se imponha após esse conhecimento.",https://www.direitoemdia.pt/search/show/f4f4f5cee45366f2d1c7cd5d87d14640f77d0e1aa1f4c3cee7470ed35cea425b
1,Processo nº:  18079/16.1T8LSB.L1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Poderes do supremo tribunal de justiça, Alteração dos factos, Princípio da livre apreciação da prova, Seguro de vida, Cláusula de exclusão, Consumo de álcool, Morte, Cirrose","I - A matéria de facto só pode ser alterada pelo STJ quando se verifica algum dos fundamentos previstos na parte final do n.º 3 do art. 674.º do CPC, ou seja, quando tenha havido “ofensa de uma disposição expressa de lei que exija certa espécie de prova para a exigência do facto ou que fixe a força de determinado meio de prova”.  II - O certificado de óbito não faz prova plena quanto a causa da morte.  III - O princípio da livre apreciação da prova, plasmado no art. 607.º, n.º 5 do CPC, vigora para a 1.ª instância e, de igual modo, para a Relação, quando é chamada a reapreciar a decisão proferida sobre a matéria de facto impugnada.   IV - É definitivo o juízo formulado pelo tribunal da Relação, no âmbito do disposto no art. 662.º, n.º 1, do CPC, sobre a prova sujeita a livre apreciação.   V - Existe nexo casual bastante para a verificação de cláusula de exclusão acordada e contemplada nas condições especiais da apólice, em que se prevê que a seguradora não garante o pagamento das importâncias seguras caso o falecimento do segurado seja devido a doença que lhe sobrevenha em resultado do consumo de bebidas alcoólicas, quando a morte da pessoa segura decorre de cirrose hepática alcoólica e consequente septicémia.",https://www.direitoemdia.pt/search/show/f4f4f5cee45366f2d1c7cd5d87d14640f77d0e1aa1f4c3cee7470ed35cea425b
2,Processo nº:  866/14.7TBPVZ-A.P1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Saneador-sentença, Excepção dilatória, Exceção dilatória, Competência material, Título executivo, Recurso de apelação, Nulidade de acórdão, Omissão de pronúncia","I - Em sede de saneador-sentença, o juiz deve, nos termos do n.º 1 do art. 608.º do CPC, começar por conhecer das exceções dilatórias de que lhe cumpra conhecer, designadamente da competência do tribunal em razão da matéria para, só depois – e apenas na hipótese de vir a concluir no sentido da competência –, conhecer das demais questões, designadamente aquelas que apenas têm a ver com o mérito da causa, como é o caso da existência ou não de título executivo.  II - Tendo o juiz – após ter conhecido da questão invocada nos embargos de executado relativa a inexistência de título executivo e ter concluído nesse sentido – vindo a conhecer e a decidir no sentido da sua incompetência em razão da matéria, a decisão proferida no sentido da procedência dos embargos terá de ser interpretada no sentido de a mesma apenas ter por fundamento a declarada incompetência em razão da matéria.  III - Não faz sentido que um tribunal que se declara incompetente para a tramitação dos autos possa vir a apreciar e decidir todas as demais questões suscitadas, ou seja, apreciar questões para as quais se reconhece e declara incompetente.   IV- Tendo o exequente suscitado na apelação apenas a questão da competência em razão da matéria, não pode a Relação abster-se de conhecer de tal questão e julgar improcedente o recurso por considerar, indevidamente, que a decisão recorrida se baseou também noutros fundamentos (relativos a inexistência de título executivo) e que como tal o conhecimento da competência se mostrava prejudicado.  V- Foi assim cometida a nulidade, resultante de omissão a que alude a al. d) do n.º 1 do art. 615.º do CPC, a qual tem como consequência a anulação do acórdão recorrido.",https://www.direitoemdia.pt/search/show/6427f8e23336fc0ca0e5340cdc71c5326634b4fffaf031be0d29f2ad9aca30dc
3,Processo nº:  5168/11.8TCLRS.L1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Contrato de arrendamento, Fim contratual, Obras, Mora, Interpelação, Resolução do negócio, Direito à indemnização","1. Sobre o senhorio recai o dever de facultar ao inquilino o gozo do prédio arrendado para os fins a que se destina, cabendo-lhe executar todas as obras de conservação, ordinárias ou extraordinárias, requeridas pelas leis vigentes ou pelo fim do contrato, salvo estipulação cm contrário, podendo o locatário exigir que o senhorio as execute, nos termos dos artigos 1031°, alínea b), 1074°, n.° 1 e 1111"", n.° 2 do Código Civil.  2. Se o senhorio não executar as obras necessárias para manter o imóvel adequado à finalidade, incumpre uma obrigação contratual e o arrendatário poderá resolver o contrato, nos termos previstos no artigo 1083."", n.° 5 do Código Civil.  3. A constituição em mora no cumprimento do dever legal de realização de obras de conservação e manutenção exige a interpelação pelo credor, nos termos gerais do artigo 805°, n.° 1 do Código Civil.  4. Não estando demonstrada a existência de interpelação nem a recusa do senhorio a realizar as obras necessárias, mas sabendo-se que este não autorizou as obras de adaptação do estabelecimento às regras sanitárias e de higiene, que por sua vez não eram viáveis sem intervenção em todo o imóvel, tendo ele conhecimento das anomalias existentes desde 2004 e que vieram a determinar o seu encerramento, tal significa que o arrendatário deixou de poder gozar a coisa por motivo estranho ã sua pessoa ou à dos seus familiares, circunstância que lhe confere o direito a resolver o contrato, nos termos do art. 1050°, alínea a) do Código Civil, independentemente de qualquer incumprimento, ou responsabilidade, da contraparte.  5. O dever de indemnizar pressupõe a mora do devedor (senhorio), que por sua vez pressupõe a interpelação, judicial ou extrajudicial, acompanhada do estabelecimento de um prazo, pelo que na ausência de demonstração da existência de mora, a conduta omissiva não pode ser tida como ilícita ou culposa, pressuposto este da indemnização.",https://www.direitoemdia.pt/search/show/6427f8e23336fc0ca0e5340cdc71c5326634b4fffaf031be0d29f2ad9aca30dc
4,Processo nº:  2288/08.0TBPTM.E1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Contrato-promessa de compra e venda, Incumprimento definitivo, Presunção de culpa, Culpa, Causas de exclusão da culpa"," I. Para decidir se é ou não de atribuir relevância, como causa de exclusão da culpa, ao alegado pelas rés de que agiram na convicção de que o ex-marido da autora tinha poderes para negociar em nome desta, o julgador deve recorrer aos critérios estipulados no artigo 487.º, n.º 2, do Código Civil, para os quais remete o artigo 799.º, n.º 2, do mesmo diploma, norma que faz coincidir os critérios de culpa aplicáveis à responsabilidade extracontratual e à responsabilidade contratual. II. Na densificação do conceito legal do «bom pai de família», temos de ter em conta, em primeiro lugar, a atualização terminológica, valorativa e social deste conceito para o de «pessoa média», que pode ser de ambos os géneros, masculino ou feminino, e o que deve ser a sua conduta, tal como a da generalidade das pessoas, quando participa no tráfico jurídico no contexto em que o faz.   III. Estando afastado um critério subjetivo e concreto na apreciação da censura dirigida ao devedor ou devedora, ainda assim é forçoso ter em conta as circunstâncias do caso, para apurar a conduta exigível a uma pessoa média, de forma a imputar os danos ao devedor nos casos em que a sua diligência habitual seja inferior à média.     IV. A circunstância de o ex-marido da autora, no momento da revogação do contrato-promessa, ter expressamente afirmado agir em nome desta, num quadro sociológico em que geralmente os cônjuges estão de acordo e no contexto de uma relação contratual que durava há quase cinco anos, fez com que as rés, tal como sucederia com a generalidade das pessoas medianamente cuidadosas, confiassem nas declarações do ex-marido da autora, não sendo exigível que suspeitassem da falta de honestidade do seu comportamento e lhe pedissem o comprovativo da autorização da autora, agora recorrente.",https://www.direitoemdia.pt/search/show/91803072e8d8f3936ccabbef7448e0efb6aadca5055947fb029dd5c2c643dc9c
5,Processo nº:  431/14.9TVPRT.P1.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Recurso de revista, Poderes do supremo tribunal de justiça, Matéria de facto, Lei processual, Violação, Erro de julgamento, Nulidade de acórdão","I. O STJ pode censurar o mau uso que o Tribunal da Relação tenha eventualmente feito dos seus poderes sobre a modificação da matéria de facto, bem como pode verificar se foi violada ou feita aplicação errada da lei de processo (alínea b) do nº1 do artigo 674º do Código de Processo Civil). II. E a existir qualquer incorreção sempre a mesma se reconduziria a violação da lei processual, o que determinaria a existência de erro de julgamento da decisão de facto e não se poderia considerar que se estava em presença de qualquer dos fundamentos da nulidade do Acórdão, fundamentos que se mostram especificados no artigo 615º do Código de Processo Civil. III. A Relação deve, em ordem à descoberta da verdade material, mesmo oficiosamente, proceder ao reexame da causa, mediante a renovação das provas produzidas na 1ª instância ou, ordenar a produção de novos meios de prova, o que tudo pode suceder desde que se lhe suscitem sérias dúvidas sobre a credibilidade da testemunha ou sobre o sentido do seu depoimento ou, no segundo caso, quando se erga fundada dúvida sobre a prova realizada – alíneas a) e b) do nº2 do artigo 662º do Código de Processo Civil. IV. A Relação pode, ainda, anular a decisão proferida na 1ª. instância quando, não constando do processo todos os elementos que permitam a alteração da decisão proferida sobre a matéria de facto, repute deficiente, obscura ou contraditória a decisão sobre pontos determinados da matéria de facto, ou quando considere indispensável a ampliação desta (alínea c)) e determinar que, não estando devidamente fundamentada a decisão proferida sobre algum facto essencial para o julgamento da causa, o tribunal de 1ª instância a fundamente, tendo em conta os depoimentos gravados ou registados (alínea d)). V. Como se preceitua no nº4 do artigo 662º do Código de Processo Civil, das decisões da Relação incidentes sobre renovação da produção de prova ou sobre a produção de novos meios de prova, bem como dos restantes procedimentos afirmados nas alíneas c) e d) do nº2 do artigo 662º do Código de Processo Civil, não cabe recurso para o STJ, ou seja, este recurso está vedado sempre que a Relação na valoração que faça dos meios de prova a cuja reponderação tenha procedido não encontre dúvidas sobre a credibilidade do depoente ou o sentido com que deve valer o conteúdo do respetivo depoimento, nem sobre a prova realizada na 1ª instância. VI. Assim, o recurso poderá ter lugar apenas quando, reconhecida uma situação de dúvida como a prevista nas alíneas a) e b), e com as deficiências constantes das alíneas c) e d), e confrontado, o Tribunal da Relação, em vez de cumprir o dever de a ultrapassar, lançando mão dos meios postos ao seu dispor para perseguir a descoberta da verdade, se remete à passividade, incumprindo a lei processual que lhe cominava esse poder – dever.",https://www.direitoemdia.pt/search/show/91803072e8d8f3936ccabbef7448e0efb6aadca5055947fb029dd5c2c643dc9c
6,Processo nº:  7413/14.9T8LRS.S1,CÍVEL,26 de novembro de 2019,Acórdão,"Associação em participação, Litigância de má fé","I.       Constitui associação em participação a situação em que alguém que exerce uma actividade económica de compra de imóveis para revenda e exploração dos imóveis comprados antes da sua alienação acorda com outrem a partilha dos resultados resultantes da sua actividade, numa caso em que o acordo abrangia a repartição de lucros e de perdas.  II.       Deve ser condenado como litigante de má-fé a parte que teve ao longo do processo uma atitude de negar evidências relativamente a situações em que, no mínimo, lhe era exigível um outro comportamento, quando não se possa afirmar que a sua postura processual se reconduz apenas a uma elevada insatisfação e inconformismo, com idêntico nível de litigiosidade, dentro de um quadro de normalidade em caso de litígio judicial.",https://www.direitoemdia.pt/search/show/489122433814c9bbbc3a180962f8707ba1634e61d519339411fde62db00ae548
7,Processo nº:  92/13.2TBPMS.C1.S1,CÍVEL,21 de novembro de 2019,Acórdão,"Nulidade de acórdão, Litisconsórcio, Litisconsórcio legal, Litisconsórcio necessário, Condenação extra vel ultra petitum, Poderes da relação, Reapreciação da prova","I.     Defere-se a presente reclamação para a conferência, admitindo-se o recurso, circunscrito à apreciação da alegada violação das normas processuais respeitantes à reapreciação da prova por não ter a Relação formado uma convicção própria, e, em consequência, à apreciação das invocadas nulidades do acórdão recorrido correctamente qualificadas como tal.  II.    No caso dos autos, resultando do teor da fundamentação do acórdão recorrido que a Relação procedeu à apreciação dos meios de prova invocados numa e noutra apelação, com referência à factualidade impugnada, não se limitando a aderir ao juízo probatório da 1ª instância, antes formando uma verdadeira convicção própria, conclui-se pela inexistência da alegada violação das normas processuais respeitantes à reapreciação da prova.",https://www.direitoemdia.pt/search/show/489122433814c9bbbc3a180962f8707ba1634e61d519339411fde62db00ae548
8,Processo nº:  1986/06.7TVLSB-C.L1.S2,CÍVEL,21 de novembro de 2019,Acórdão,"Litigância de má fé, Notificação, Notificação pessoal, Representante, Pessoa colectiva, Pessoa coletiva, Constitucionalidade","I.      De acordo com o despacho proferido nos autos, no presente caso em que a decisão de condenação por litigância de má-fé integra a decisão que põe termo ao processo, não está em causa uma decisão interlocutória, mas antes uma parte ou extensão da decisão de mérito; assim, e ainda que não se ignore existirem, a esse respeito, divergências na jurisprudência do STJ, considerou-se ser a decisão recorrível nos termos gerais do nº 1 do art. 671º do CPC. II.    Incindindo a decisão de condenação por litigância de má-fé sobre os “representantes legais da autora”, os actos de notificação da própria sociedade autora não podem valer como notificação pessoal dos seus representantes legais; nem tampouco o conhecimento pessoal que estes possam ter dos factos provados relevantes, nos quais a sobredita condenação se fundou, pode suprir a falta de notificação pessoal, se tal falta tiver ocorrido. III.    Assim, comprovando-se que um dos recorrentes (i) não foi nominalmente notificado; (ii) à data da notificação dos despachos em causa, não era já representante legal da autora; (iii) não veio aos autos apresentar resposta aos despachos da 1ª instância que ordenaram a notificação do “representante legal” da autora; forçoso é concluir não ter o mesmo recorrente sido pessoal e devidamente notificado. IV.      Compulsado o processo, verifica-se que, por acórdão anterior da Relação, foi definida – e não impugnada – a aplicação do regime da condenação por litigância de má-fé anterior à reforma do CPC (introduzida pela Lei nº 41/2013, de 26/06), de acordo com o qual, quando a parte for uma pessoa colectiva, a responsabilidade pelas custas, multa e indemnização inerentes à condenação recai sobre o representante legal da mesma; na medida em que os ora recorrentes, na primeira vez que vieram ao processo, não invocaram qualquer nulidade processual – designadamente pelo facto de o direito aplicável ter sido definido antes de terem sido pessoalmente notificados, não lhes tendo sido dada oportunidade de se pronunciarem sobre a questão da própria determinação de tal regime – formou-se a esse respeito caso julgado formal.  V.  Quanto à alegada inconstitucionalidade da interpretação e aplicação do regime dos arts. 456º e ss do CPC antigo, por violação do princípio da retroactividade das normas sancionatórias de conteúdo mais favorável, mostra-se evidente, a partir da conclusão do ponto IV, que o acórdão recorrido não interpretou nem aplicou as normas em causa, antes se limitou a considerar ter-se formado caso julgado formal a respeito da aplicação de tais normas. Pelo que não padece o acórdão recorrido da invocada inconstitucionalidade.",https://www.direitoemdia.pt/search/show/f3085cfe2b13843f1f1375558a600a42d8e69c1b21931bd7a0d5576677b1e916
9,Processo nº:  11701/15.9T8LSR-A.L1.S2,CÍVEL,21 de novembro de 2019,Acórdão,"Responsabilidade civil extracontratual, Dívidas hospitalares, Lesado, Responsabilidade criminal, Princípio da adesão, Prescrição, Início da prescrição, Interrupção da prescrição","I.  O estabelecimento hospital que contribuiu para o tratamento ou assistência da vítima é titular de um direito de indemnização que tem origem no facto ilícito, logo é um lesado nos termos e para os efeitos do artigo 495.º, n.º 2, do CC. II.  O disposto, em especial, no artigo 3.º do DL n.º 218/99, de 15.06., quanto ao início da contagem do prazo de prescrição do direito de indemnização de que são titulares as entidades integradas no Serviço Nacional de Saúde não afasta a aplicabilidade dos princípios e das regras gerais sobre a prescrição em tudo o que com ele não contenda. III. Configurando o facto gerador do direito de indemnização um ilícito criminal, é aplicável, em princípio, a extensão do prazo de prescrição prevista no artigo 498.º, n.º 3, do CC, beneficiando tanto o ofendido / lesado principal como os restantes lesados. IV.  Estando, por força do princípio da adesão do pedido indemnizatório à acção penal (cfr. artigo 71.º do CPP), todos os lesados impedidos de deduzir aquele pedido, em separado, nos tribunais cíveis, a contagem do prazo de prescrição do direito de indemnização não se inicia antes de proferido o despacho de acusação / de arquivamento, em conformidade com o disposto no artigo 306.º, n.º 1, do CC.",https://www.direitoemdia.pt/search/show/f3085cfe2b13843f1f1375558a600a42d8e69c1b21931bd7a0d5576677b1e916
